COUNTRY,FIRST,SECOND,THIRD
Afghanistan,Persian,Pashto,Dari
Aland,Finnish,Swedish,
Albania,Albanian,,
Algeria,Arabic,French,
American Samoa,Samoan,English,
Andorra,Catalan,,
Angola,Portuguese,,
Anguilla,English,,
Antigua and Barbuda,English,,
Argentina,Spanish,,
Armenia,Armenian,,
Aruba,Dutch,,
Australia,English,,
Austria,German,,
Azerbaijan,Azerbaijani,,
Bahrain,Arabic,,
Bangladesh,Bengali,,
Barbados,English,,
Belarus,Russian,Belarusian,
Belgium,Dutch,French,German
Belize,English,,
Benin,French,,
Bermuda,English,,
Bhutan,Dzongkha,,
Bolivia,Spanish,Quechua,Indigenous
Bosnia and Herzegovina,Bosnian,Croatian,Serbian
Botswana,English,,
Brazil,Portuguese,,
British Indian Ocean Territory,English,,
British Virgin Islands,English,,
Brunei,Malay,,
Bulgaria,Bulgarian,,
Burkina Faso,French,,
Burundi,Kirundi,French,
Cambodia,Khmer,,
Cameroon,English,French,
Canada,English,French,
Cape Verde,Portuguese,,
Cayman Islands,English,,
Central African Republic,French,Sangho,
Chad,French,Arabic,Sara
Chile,Spanish,,
China,Standard Chinese or Mandarin,Regional Chinese,
Clipperton Island,French,,
Colombia,Spanish,,
Comoros,Arabic,French,
Cook Islands,English,Cook Island Maori,
Costa Rica,Spanish,,
Croatia,Croatian,,
Cuba,Spanish,,
Cyprus,Greek,Turkish,
Czech Republic,Czech,,
Democratic Republic of the Congo,French,Lingala,
Denmark,Danish,English,
Djibouti,French,Arabic,
Dominica,English,,
Dominican Republic,Spanish,,
East Timor,Tetum,Portuguese,
Ecuador,Spanish,Quechua,Indigenous
Egypt,Arabic,,
El Salvador,Spanish,,
Equatorial Guinea,Spanish,French,
Eritrea,Tigrinya,Arabic,English
Estonia,Estonian,,
Ethiopia,Amharic,Indigenous,
Falkland Islands,English,,
Faroe Islands,Faroese,Danish,
Federated States of Micronesia,English,,
Fiji,English,Fijian,
Finland,Finnish,Swedish,
France,French,,
French Polynesia,French,Polynesian,
Gabon,French,,
Gambia,English,,
Georgia,Georgian,,
Germany,German,,
Ghana,English,,
Gibraltar,English,,
Greece,Greek,,
Greenland,Greenlandic,Danish,
Grenada,English,,
Guam,English,Chamorro,
Guatemala,Spanish,,
Guernsey,English,French,
Guinea,French,,
Guinea Bissau,Portuguese,,
Guyana,English,,
Haiti,French,Creole,
Honduras,Spanish,,
Hong Kong S.A.R.,Cantonese,English,
Hungary,Hungarian,,
Iceland,Icelandic,,
India,Hindi,English,
Indonesia,Bahasa Indonesia,,
Iran,Persian,,
Iraq,Arabic,Kurdish,
Ireland,English,,
Isle of Man,English,Irish,
Israel,Hebrew,,
Italy,Italian,,
Ivory Coast,French,,
Jamaica,English,,
Japan,Japanese,,
Jersey,English,,
Jordan,Arabic,,
Kazakhstan,Kazakh,Russian,
Kenya,English,Kiswahili,
Kiribati,English,,
Kosovo,Albanian,Serbian,
Kuwait,Arabic,,
Kyrgyzstan,Kyrgyz,Russian,
Laos,Lao,,
Latvia,Latvian,,
Lebanon,Arabic,,
Lesotho,Sotho,English,
Liberia,English,,
Libya,Arabic,,
Liechtenstein,German,,
Lithuania,Lithuanian,,
Luxembourg,Luxembourgish,French,German
Macedonia,Macedonian,Albanian,
Madagascar,French,Malagasy,
Malawi,English,,
Malaysia,Bahasa Malaysia,,
Maldives,Dhivehi,,
Mali,French,,
Malta,Maltese,English,
Marshall Islands,Marshallese,English,
Mauritania,Arabic,,
Mauritius,French,English,
Mexico,Spanish,,
Moldova,Moldovan,,
Monaco,French,,
Mongolia,Khalkha Mongol,,
Montenegro,Montenegrin,,
Montserrat,English,,
Morocco,Arabic,,
Mozambique,Portuguese,,
Myanmar,Burmanese,,
Namibia,English,,
Nauru,Nauruan,,
Nepal,Nepali,,
Netherlands,Dutch,,
New Caledonia,French,,
New Zealand,English,Maori,
Nicaragua,Spanish,,
Niger,French,,
Nigeria,English,,
Niue,Niuean,English,
Norfolk Island,English,,
North Korea,Korean,,
Northern Cyprus,Turkish,,
Northern Mariana Islands,Chamorro,English,
Norway,Norwegian,,
Oman,Arabic,,
Pakistan,English,Urdu,
Palau,English,Palauan,
Palestine,Arabic,,
Panama,Spanish,,
Papua New Guinea,Tok Pisin,English,Hiri Motu
Paraguay,Spanish,Guarani,
Peru,Spanish,Quechua,Aymara
Philippines,Filipino,English,
Pitcairn Islands,English,,
Poland,Polish,,
Portugal,Portuguese,Mirandese,
Puerto Rico,Spanish,English,
Qatar,Arabic,,
Republic of Congo,French,Lingala,
Republic of Serbia,Serbian,,
Romania,Romanian,,
Russia,Russian,,
Rwanda,Kinyarwanda,French,
Saint Barthelemy,French,,
Saint Helena,English,,
Saint Kitts and Nevis,English,,
Saint Lucia,English,,
Saint Martin,French,,
Saint Pierre and Miquelon,French,,
Saint Vincent and the Grenadines,English,,
Samoa,Samoan,,
San Marino,Italian,,
Sao Tome and Principe,Portuguese,,
Saudi Arabia,Arabic,,
Senegal,French,,
Seychelles,Creole,English,French
Sierra Leone,English,,
Singapore,Standard Chinese or Mandarin,English,Malay
Sint Maarten,English,Dutch,
Slovakia,Slovak,,
Slovenia,Slovenian,,
Solomon Islands,Melanesian pidgin,English,
Somalia,Somali,Arabic,
Somaliland,Somali,Arabic,English
South Africa,Afrikaans,English,Indigenous
South Korea,Korean,,
South Sudan,English,,
Spain,Spanish,,
Sri Lanka,Sinhala,,
Sudan,Arabic,English,
Suriname,Dutch,,
Swaziland,English,siSwati,
Sweden,Swedish,,
Switzerland,German,French,Italian
Syria,Arabic,,
Taiwan,Standard Chinese or Mandarin,,
Tajikistan,Tajik,,
Thailand,Thai,,
Togo,French,,
Tonga,Tongan,English,
Trinidad and Tobago,English,,
Tunisia,Arabic,,
Turkey,Turkish,,
Turkmenistan,Turkmen,,
Turks and Caicos Islands,English,,
Tuvalu,Tuvaluan,English,
Uganda,English,Swahili,
Ukraine,Ukrainian,,
United Arab Emirates,Arabic,,
United Kingdom,English,,
United Republic of Tanzania,Swahili,English,
United States Minor Outlying Islands,English,,
United States of America,English,,
Uruguay,Spanish,,
Uzbekistan,Uzbek,Karakalpakstani,
Vanuatu,Creole,English,French
Vatican,Italian,Latin,French
Venezuela,Spanish,,
Vietnam,Vietnamese,,
Wallis and Futuna,French,,
Western Sahara,Arabic,,
Yemen,Arabic,,
Zambia,English,,
Zimbabwe,Shona,Ndebele,English
